,title,vote_average,vote_count,popularity
1358,Michael,5.5,174.0,9.473162
1359,The Evening Star,5.8,18.0,8.399113999999999
1360,Hamlet,7.3,118.0,9.994088
1361,Some Mother's Son,7.0,6.0,0.332582
1362,The Whole Wide World,6.4,9.0,7.945989999999999
1363,Mother,6.8,19.0,7.860964999999999
1364,Thieves,7.0,5.0,0.365078
1365,Evita,5.9,122.0,6.709803
1366,The Portrait of a Lady,6.3,46.0,4.13905
1367,Walkabout,7.4,111.0,10.177086
1368,Message to Love: The Isle of Wight Festival,6.4,4.0,0.330752
1369,Murder at 1600,5.8,130.0,8.428986
1370,Hearts and Minds,0.0,0.0,0.001202
1371,Inside,0.0,1.0,0.064513
1372,Fierce Creatures,6.0,95.0,11.036729
1373,Zeus & Roxanne,4.2,16.0,1.034602
1374,Turbulence,5.2,63.0,5.304043
1375,Angel Baby,7.7,3.0,0.775616
1376,First Strike,6.5,101.0,9.206356
1377,Underworld,6.0,1.0,0.005555
1378,Beverly Hills Ninja,5.5,176.0,12.16305
1379,Metro,5.3,136.0,10.519480999999999
1380,The Machine,4.5,2.0,0.935473
1381,Falling in Love Again,6.1,4.0,0.462729
1382,The Cement Garden,7.2,23.0,15.975485
1383,Dante's Peak,5.8,445.0,7.240753
1384,Meet Wally Sparks,5.3,10.0,0.576741
1385,Amos & Andrew,5.0,47.0,3.941294
1386,Benny & Joon,6.9,220.0,10.597116
1387,Prefontaine,6.7,21.0,2.93818
1388,A Tickle in the Heart,0.0,0.0,0.0016879999999999998
1389,Guantanamera,8.0,3.0,0.49631499999999995
1390,McHale's Navy,4.4,27.0,2.705804
1391,Kolya,7.5,46.0,13.947867
1392,Gridlock'd,6.8,55.0,10.575080999999999
1393,Fire on the Mountain,0.0,0.0,0.0011769999999999999
1394,Waiting for Guffman,7.4,66.0,8.130999000000001
1395,Prisoner of the Mountains,6.6,14.0,1.015881
1396,The Beautician and the Beast,5.2,53.0,7.566377
1397,SubUrbia,6.4,32.0,8.67935
1398,Hotel de Love,4.3,2.0,0.22815700000000003
1399,The Pest,5.0,35.0,3.1948830000000004
1400,Fools Rush In,5.8,133.0,6.2855739999999996
1401,Touch,6.0,10.0,0.455272
1402,Absolute Power,6.4,226.0,7.661239999999999
1403,That Darn Cat,3.9,11.0,1.496999
1404,Vegas Vacation,6.0,175.0,9.304901
1405,Unforgotten: Twenty-Five Years After Willowbrook,7.0,2.0,0.14057
1406,That Old Feeling,7.1,15.0,1.9546560000000002
1407,Lost Highway,7.5,572.0,8.449722
1408,Rosewood,6.7,31.0,2.899809
1409,Donnie Brasco,7.4,1175.0,12.201953999999999
1410,Salut cousin !,3.3,4.0,0.15935
1411,Booty Call,5.6,29.0,2.5436259999999997
1412,Rhyme & Reason,6.3,8.0,0.915041
1413,Boys Life 2,5.0,1.0,0.060645000000000004
1414,City of Industry,5.6,14.0,1.922014
1415,Best Men,5.6,8.0,6.610419
1416,Jungle 2 Jungle,4.9,122.0,12.640569000000001
1417,Kama Sutra - A Tale of Love,5.7,36.0,7.124652
1418,Private Parts,6.7,106.0,10.928417
1419,Love Jones,8.1,12.0,1.251862
1420,The Saint,5.9,310.0,10.97633
1421,Smilla's Sense of Snow,6.6,61.0,3.132331
1422,The Van,5.9,15.0,1.13412
1423,Crash,6.5,224.0,7.540611999999999
1424,The Daytrippers,6.2,11.0,9.664735
1425,Liar Liar,6.4,1456.0,10.102471000000001
1426,The Quiet Room,5.0,1.0,0.064705
1427,Selena,7.1,115.0,7.390306
1428,The Devil's Own,5.9,300.0,10.675073
1429,Cats Don't Dance,7.1,25.0,3.406836
1430,B.A.P.S.,4.2,13.0,1.56098
1431,Love and Other Catastrophes,5.8,9.0,0.915298
1432,Turbo: A Power Rangers Movie,4.6,60.0,5.436744999999999
1433,Anna Karenina,6.4,26.0,5.660835
1434,Double Team,4.4,163.0,5.452961
1435,Inventing the Abbotts,6.4,43.0,5.063701
1436,Anaconda,4.8,624.0,14.386089000000002
1437,Grosse Pointe Blank,6.9,278.0,7.556814
1438,Keys to Tulsa,4.9,5.0,1.3234219999999999
1439,Kissed,7.0,21.0,2.056754
1440,8 Heads in a Duffel Bag,5.4,39.0,5.666701
1441,Hollow Reed,6.8,6.0,0.26121700000000003
1442,Paradise Road,6.2,21.0,1.4621389999999999
1443,Traveller,5.9,6.0,2.166773
1444,All Over Me,5.9,15.0,4.06745
1445,A Brother's Kiss,8.0,1.0,0.92491
1446,A Chef in Love,3.5,2.0,0.631834
1447,Romy and Michele's High School Reunion,6.0,160.0,5.889414
1448,Temptress Moon,7.2,6.0,1.1362219999999998
1449,Volcano,5.2,387.0,13.147917000000001
1450,Children of the Revolution,5.3,9.0,1.129648
1451,Austin Powers: International Man of Mystery,6.5,1033.0,11.749158999999999
1452,Breakdown,6.6,202.0,7.926621000000001
1453,Broken English,7.0,2.0,0.369118
1454,Commandments,5.3,5.0,0.22570700000000002
1455,Ripe,4.0,4.0,0.773608
1456,"Truth or Consequences, N.M.",5.7,15.0,2.26858
1457,The Turning,0.0,0.0,0.129847
1458,Warriors of Virtue,4.7,9.0,0.719444
1459,Fathers' Day,5.1,77.0,5.2955559999999995
1460,The Fifth Element,7.3,3962.0,24.30526
1461,Intimate Relations,8.0,1.0,1.372838
1462,Nowhere,6.3,27.0,3.324489
1463,Losing Chase,3.9,6.0,0.901452
1464,Sprung,5.0,7.0,1.511388
1465,The Promise,5.0,1.0,0.122178
1466,Le Bonheur,7.0,21.0,0.7924859999999999
1467,Love! Valour! Compassion!,5.7,10.0,1.7442
1468,Shall We Dance?,7.2,35.0,1.963402
1469,The Second Jungle Book: Mowgli & Baloo,3.2,5.0,0.285487
1470,Twin Town,6.6,29.0,1.651546
1471,Addicted to Love,6.1,112.0,8.085194
1472,Brassed Off,6.9,53.0,3.1170709999999997
1473,The Designated Mourner,8.0,2.0,0.152272
1474,The Lost World: Jurassic Park,6.2,2528.0,0.7881229999999999
1475,Ponette,7.5,11.0,0.409967
1476,Schizopolis,6.4,22.0,2.438198
1477,Shiloh,5.7,17.0,2.8944900000000002
1478,The War at Home,6.9,7.0,0.8934639999999999
1479,Rough Magic,6.3,7.0,0.476919
1480,Trial and Error,5.3,17.0,2.683782
1481,Buddy,3.9,13.0,2.0227060000000003
1482,Con Air,6.5,1289.0,11.545982
1483,Late Bloomers,4.0,1.0,0.071497
1484,The Pillow Book,6.9,41.0,2.6903189999999997
1485,To Have (Or Not),0.0,0.0,0.014329
1486,Speed 2: Cruise Control,4.1,439.0,11.268531
1487,Squeeze,6.0,1.0,0.321515
1488,Sudden Manhattan,6.0,1.0,0.344303
1489,The Next Step,0.0,0.0,0.001247
1490,Wedding Bell Blues,5.5,2.0,0.886134
1491,Batman & Robin,4.2,1447.0,17.038823999999998
1492,Dream with the Fishes,7.7,10.0,0.684192
1493,Roseanna's Grave,6.3,4.0,1.081043
1494,Head Above Water,5.8,39.0,2.357791
1495,Hercules,7.3,1741.0,14.048694
1496,The Last Time I Committed Suicide,6.7,7.0,1.380375
1497,MURDER and murder,8.0,2.0,0.076975
1498,My Best Friend's Wedding,6.4,606.0,4.678572
1499,Tetsuo II: Body Hammer,5.6,24.0,2.0182919999999998
1500,When the Cat's Away,6.1,16.0,0.834917
1501,Contempt,7.5,138.0,7.543336999999999
1502,Face/Off,6.8,1612.0,11.467391000000001
1503,Fall,7.2,6.0,1.555954
1504,Gabbeh,7.5,6.0,1.052071
1505,Mondo,7.0,3.0,0.31196799999999997
1506,The Innocent Sleep,0.0,0.0,1.221766
1507,For Ever Mozart,8.0,3.0,0.413422
1508,Men in Black,6.9,4521.0,15.781023999999999
1509,Out to Sea,5.8,20.0,3.7223889999999997
1510,Wild America,5.8,28.0,7.477411
1511,A Simple Wish,5.5,46.0,3.3548690000000003
1512,Contact,7.2,1338.0,14.374866
1513,Love Serenade,6.0,4.0,0.881482
1514,G.I. Jane,6.0,404.0,9.37934
1515,Conan the Barbarian,6.6,663.0,10.52008
1516,George of the Jungle,5.4,508.0,9.559685
1517,Cop Land,6.6,384.0,9.159310000000001
1518,Event Horizon,6.4,752.0,11.335072
1519,Spawn,5.0,344.0,11.366417
1520,Air Bud,5.3,108.0,9.407128
1521,Picture Perfect,5.1,114.0,4.347079
1522,In the Company of Men,6.8,45.0,3.323672
1523,Free Willy 3: The Rescue,5.6,76.0,6.107833
1524,Career Girls,7.4,15.0,3.459251
1525,Conspiracy Theory,6.5,440.0,14.261798
1526,Desperate Measures,5.9,60.0,3.713996
1527,Steel,4.2,49.0,2.890462
1528,She's So Lovely,5.3,26.0,2.314911
1529,Hoodlum,6.5,33.0,2.384882
1530,Leave it to Beaver,5.2,20.0,1.6359110000000001
1531,Mimic,5.7,255.0,9.128905
1532,Money Talks,6.0,90.0,13.855037
1533,Excess Baggage,5.6,56.0,3.7149970000000003
1534,Kull the Conqueror,5.2,39.0,3.3241949999999996
1535,Air Force One,6.2,859.0,12.173291
1536,One Eight Seven,6.5,141.0,6.476493
1537,The Hunt for Red October,7.2,971.0,15.91126
1538,My Own Private Idaho,7.1,218.0,7.289727
1539,"Kiss Me, Guido",4.4,10.0,0.9106549999999999
1540,Star Maps,5.3,3.0,0.725694
1541,In & Out,6.3,181.0,9.949805
1542,The Edge,6.8,359.0,15.174973000000001
1543,The Peacemaker,5.8,263.0,8.868114
1544,L.A. Confidential,7.7,1340.0,10.989442
1545,Seven Years in Tibet,7.0,644.0,11.483493
1546,Kiss the Girls,6.2,353.0,12.235391
1547,Soul Food,6.6,19.0,2.647781
1548,Kicked in the Head,5.0,1.0,0.07992
1549,Wishmaster,5.6,114.0,5.215107
1550,A Thousand Acres,5.7,11.0,0.82942
1551,The Game,7.5,1556.0,14.825586999999999
1552,Fire Down Below,5.0,91.0,7.830989999999999
1553,U Turn,6.5,185.0,7.923639
1554,The Locusts,3.8,3.0,0.53204
1555,The Matchmaker,6.1,18.0,3.742915
1556,The Assignment,6.6,41.0,4.233187
1557,A Smile Like Yours,3.2,6.0,2.507368
1558,Ulee's Gold,6.5,19.0,1.1389719999999999
1559,The Ice Storm,6.9,181.0,7.146352
1560,Stag,5.8,6.0,0.854723
1561,Chasing Amy,6.7,441.0,12.311564
1562,Def Jam's How to Be a Player,5.4,9.0,0.8838889999999999
1563,The Full Monty,6.9,372.0,8.333322
1564,Alive and Kicking,0.0,1.0,0.873828
1565,Mrs Brown,6.6,45.0,3.8839129999999997
1566,I Know What You Did Last Summer,5.6,698.0,7.4171570000000004
1567,The Devil's Advocate,7.2,1414.0,10.920124000000001
1568,RocketMan,5.4,36.0,5.345663
1569,Playing God,5.6,26.0,9.657642
1570,The House of Yes,6.3,30.0,3.9743739999999996
1571,"Fast, Cheap & Out of Control",8.3,8.0,2.1177029999999997
1572,Washington Square,7.4,5.0,1.3015729999999999
1573,Telling Lies In America,6.3,6.0,1.886677
1574,Year of the Horse,3.8,3.0,0.405805
1575,Gattaca,7.5,1846.0,12.89312
1576,FairyTale: A True Story,6.2,25.0,3.553746
1577,Phantoms,5.2,110.0,10.754614
1578,Swept from the Sea,6.5,12.0,9.688236999999999
1579,Wonderland,0.0,0.0,0.002635
1580,A Life Less Ordinary,6.2,130.0,15.996170999999999
1581,Hurricane Streets,4.8,4.0,0.629699
1582,Eve's Bayou,6.3,29.0,1.4617719999999998
1583,Switchback,5.8,52.0,3.7428239999999997
1584,Gang Related,6.5,32.0,2.592927
1585,Stripes,6.5,253.0,11.341505
1586,Nenette and Boni,8.0,7.0,0.551124
1587,Bean,6.3,602.0,12.799853
1588,Hugo Pool,5.2,16.0,2.44908
1589,Mad City,5.9,81.0,4.909738
1590,One Night Stand,5.7,24.0,2.8188020000000003
1591,The Tango Lesson,6.4,5.0,0.192391
1592,Welcome to Sarajevo,6.5,22.0,7.9997929999999995
1593,Deceiver,6.6,16.0,2.833853
1594,The Rainmaker,6.7,239.0,6.6833979999999995
1595,Boogie Nights,7.5,812.0,7.595679
1596,Witness,7.0,390.0,10.312016999999999
1597,Incognito,6.3,7.0,0.9610879999999999
1598,Starship Troopers,6.7,1584.0,14.412644
1599,Critical Care,6.1,9.0,2.287762
1600,The Joy Luck Club,7.1,34.0,3.0138599999999998
1601,Chairman of the Board,2.7,13.0,1.4229040000000002
1602,Sliding Doors,6.6,363.0,9.7866
1603,Mortal Kombat: Annihilation,3.8,225.0,6.532498
1604,The Truman Show,7.8,4702.0,13.155901
1605,The Wings of the Dove,6.9,34.0,3.3775779999999997
1606,Mrs. Dalloway,5.4,7.0,1.335544
1607,"I Love You, I Love You Not",5.0,10.0,0.380405
1608,Red Corner,5.9,79.0,3.2889440000000003
1609,The Jackal,6.1,536.0,11.131917
1610,Anastasia,7.4,1481.0,11.911173
1611,The Man Who Knew Too Little,6.5,126.0,4.827771
1612,Alien: Resurrection,5.9,1388.0,15.57784
1613,Alien Escape,4.5,2.0,0.106499
1614,Amistad,6.8,324.0,2.263584
1615,The Apostle,6.1,39.0,9.211739999999999
1616,Artemisia,6.2,10.0,0.989115
1617,Bent,6.3,34.0,3.5466050000000005
1618,Bang,6.0,1.0,0.679528
1619,The Boys,5.4,7.0,0.530702
1620,The Butcher Boy,6.7,36.0,7.801199
1621,Deconstructing Harry,7.3,188.0,6.280515
1622,Flubber,5.3,707.0,7.016942
1623,For Richer or Poorer,5.6,43.0,8.412203
1624,Good Will Hunting,7.9,2880.0,15.064832999999998
1625,Guy,6.0,1.0,0.60839
1626,Tar,0.0,0.0,0.0011769999999999999
1627,Home Alone 3,5.1,632.0,8.04209
1628,Ill Gotten Gains,0.0,0.0,0.001178
1629,Man of Her Dreams,0.0,0.0,0.7982199999999999
1630,Midnight in the Garden of Good and Evil,6.3,161.0,5.145907
1631,MouseHunt,6.2,297.0,6.456233
1632,Never Met Picasso,0.0,0.0,0.0017460000000000002
1633,Office Killer,5.0,14.0,0.582559
1634,Other Voices Other Rooms,10.0,1.0,0.036680000000000004
1635,Scream 2,6.1,856.0,11.264845
1636,Stranger in the House,0.0,0.0,0.127077
1637,The Sweet Hereafter,6.8,108.0,6.002992
1638,Time Tracers,0.0,0.0,0.001247
1639,Titanic,7.5,7770.0,26.88907
1640,Tomorrow Never Dies,6.0,941.0,17.159576
1641,Twisted,4.5,1.0,0.516097
1642,Full Speed,6.6,4.0,0.384033
1643,The Education of Little Tree,0.0,0.0,0.007123
1644,The Postman,6.1,306.0,6.537407
1645,The Horse Whisperer,6.7,296.0,7.685548
1646,The Winter Guest,6.9,10.0,0.923637
1647,Jackie Brown,7.3,1580.0,16.415498
1648,Kundun,6.8,92.0,5.017519999999999
1649,Mr. Magoo,3.9,75.0,9.474269
1650,The Big Lebowski,7.8,3001.0,15.952523999999999
1651,Afterglow,7.2,5.0,1.426289
1652,My Life in Pink,7.2,28.0,3.237812
1653,Great Expectations,6.4,131.0,9.941228
1654,3 Ninjas: High Noon at Mega Mountain,3.9,38.0,3.014082
1655,Men of Means,0.0,0.0,0.022078
1656,Caught Up,4.3,4.0,5.824019
1657,Arguing the World,0.0,0.0,0.001188
1658,Firestorm,4.7,17.0,1.537212
1659,Senseless,5.8,76.0,6.253164
1660,Wag the Dog,6.7,273.0,7.603652
1661,Dark City,7.2,838.0,12.851984
1662,The Leading Man,0.0,0.0,0.004686
1663,Star Kid,4.9,16.0,1.079117
1664,Hard Rain,5.5,181.0,6.363405
1665,Half Baked,6.4,179.0,7.022548
1666,Fallen,6.6,346.0,6.3816120000000005
1667,Shooting Fish,7.0,23.0,1.6312879999999998
1668,The Prophecy II,5.9,49.0,7.747663
1669,Fallen Angels,7.7,113.0,5.470351
1670,Four Days in September,7.3,22.0,1.7919650000000003
1671,Spice World,4.7,124.0,4.257516000000001
1672,Deep Rising,6.0,155.0,6.922458
1673,Tainted,5.5,2.0,0.076396
1674,A Letter from Death Row,2.0,1.0,0.152449
1675,Music from Another Room,5.7,14.0,1.131018
1676,Mother and Son,7.6,14.0,1.0469629999999999
1677,The Replacement Killers,6.0,128.0,9.384886999999999
1678,B. Monkey,5.8,14.0,2.399824
1679,The Night Flier,5.7,60.0,7.146514
1680,Blues Brothers 2000,5.2,166.0,13.162168
1681,Tokyo Fist,6.6,29.0,1.673946
1682,Ride,6.8,4.0,0.987366
1683,The Wedding Singer,6.5,603.0,8.884035
1684,Sphere,5.8,483.0,7.124735
1685,Ayn Rand: A Sense of Life,7.2,3.0,0.13785
1686,A Further Gesture,0.0,0.0,0.8141470000000001
1687,Little City,6.0,1.0,0.036814
1688,Palmetto,5.7,29.0,4.4751769999999995
1689,As Good as It Gets,7.2,946.0,9.374049000000001
1690,King of New York,6.5,130.0,11.230031
1691,A Paralyzing Fear: The Story of Polio in America,0.0,0.0,0.001188
1692,Men with Guns,0.0,0.0,0.004075
1693,Twilight,6.1,36.0,9.468224000000001
1694,U.S. Marshals,6.2,383.0,8.462363999999999
1695,Welcome to Woop Woop,6.4,7.0,0.5698270000000001
1696,Love and Death on Long Island,6.9,11.0,0.785094
1697,Midaq Alley,6.4,12.0,3.304718
1698,In God's Hands,5.0,1.0,0.327559
1699,Everest,6.3,20.0,2.096835
1700,Hush,5.9,44.0,8.753233
1701,Suicide Kings,6.7,86.0,9.262719
1702,The Man in the Iron Mask,6.3,1052.0,7.960605
1703,The Newton Boys,5.9,44.0,2.9170130000000003
1704,Wild Things,6.3,454.0,13.924623
1705,Paulie,6.0,83.0,3.913118
1706,"A Cool, Dry Place",5.6,7.0,0.837313
1707,Fireworks,7.6,118.0,5.044722
1708,Primary Colors,6.1,97.0,8.455425
1709,"Niagara, Niagara",7.7,9.0,0.782772
1710,Wide Awake,5.2,12.0,2.976537
1711,A Price Above Rubies,5.9,6.0,2.7832049999999997
1712,Eden,6.0,1.0,0.555276
1713,Two Girls and a Guy,5.4,25.0,4.967667
1714,No Looking Back,5.8,4.0,0.77403
1715,Storefront Hitchcock,7.0,1.0,0.036965
1716,The Proposition,5.8,5.0,2.57622
1717,The Object of My Affection,5.6,75.0,6.715856
1718,Meet the Deedles,4.1,19.0,7.336353999999999
1719,Homegrown,5.5,16.0,1.840984
1720,The Players Club,6.2,15.0,5.519679
1721,Barney's Great Adventure,2.9,8.0,1.197711
1722,The Big One,6.2,24.0,2.238505
1723,Chinese Box,5.8,9.0,1.543766
1724,Lost in Space,5.0,395.0,12.000579
1725,Heaven's Burning,5.1,5.0,0.46735200000000005
1726,Mercury Rising,6.0,374.0,6.644644
1727,The Spanish Prisoner,7.1,74.0,4.305734999999999
1728,City of Angels,6.5,537.0,8.228219000000001
1729,The Last Days of Disco,6.8,50.0,8.666763000000001
1730,The Odd Couple II,6.1,28.0,2.196028
1731,My Giant,5.1,33.0,6.422711
1732,He Got Game,6.7,140.0,13.06943
1733,The Gingerbread Man,5.7,37.0,7.883472
1734,Illtown,5.0,1.0,0.141163
1735,Slappy and the Stinkers,5.6,16.0,0.9206549999999999
1736,Live Flesh,7.2,89.0,6.715019
1737,Zero Effect,6.0,56.0,3.6210519999999997
1738,Nil by Mouth,7.1,35.0,3.035339
1739,Ratchet,0.0,0.0,0.0012230000000000001
1740,The Borrowers,5.8,136.0,14.924667000000001
1741,Prince Valiant,4.7,10.0,1.74053
1742,"I Love You, Don't Touch Me!",6.0,1.0,0.090048
1743,Leather Jacket Love Story,9.0,2.0,0.48865600000000003
1744,Love Walked In,6.0,1.0,0.376985
1745,"An Alan Smithee Film: Burn, Hollywood, Burn",3.0,9.0,1.453096
1746,Kissing a Fool,5.9,16.0,9.275955999999999
1747,Krippendorf's Tribe,4.3,28.0,3.177318
1748,Kurt & Courtney,5.9,30.0,1.362407
1749,The Real Blonde,5.5,13.0,2.520458
1750,Mr. Nice Guy,6.2,129.0,6.183021
1751,Taste of Cherry,7.1,78.0,7.894941
1752,Character,7.7,25.0,1.2216770000000001
1753,Junk Mail,5.7,6.0,0.33676300000000003
1754,Species II,4.5,161.0,13.495247
1755,Major League: Back to the Minors,4.3,20.0,8.207548
1756,Sour Grapes,5.9,9.0,1.684341
1757,Wild Man Blues,6.2,5.0,0.312753
1758,The Big Hit,6.1,112.0,5.975082
1759,Tarzan and the Lost City,3.3,10.0,0.740462
1760,Black Dog,5.2,45.0,4.4467
1761,"Dancer, Texas Pop. 81",10.0,1.0,0.567444
1762,A Friend of the Deceased,5.0,3.0,0.11730399999999999
1763,Go Now,0.0,0.0,0.153884
1764,Les Misérables,7.1,157.0,12.238488
1765,Still Breathing,5.2,9.0,1.161851
1766,Clockwatchers,5.6,13.0,1.8856709999999999
1767,Deep Impact,5.9,870.0,11.644633
1768,Little Men,0.0,0.0,0.004228
1769,Woo,5.5,10.0,2.326115
1770,The Hanging Garden,5.7,9.0,0.43788299999999997
1771,Lawn Dogs,7.3,32.0,4.255262999999999
1772,Quest for Camelot,6.9,193.0,13.02535
1773,Godzilla,5.3,1075.0,11.295121
1774,Bulworth,6.3,66.0,3.3853419999999996
1775,Fear and Loathing in Las Vegas,7.2,1321.0,9.220346000000001
1776,The Opposite of Sex,5.9,56.0,14.734622
1777,I Got the Hook Up,5.4,8.0,0.9937159999999999
1778,Almost Heroes,5.5,57.0,8.92689
1779,Hope Floats,5.8,82.0,6.54478
1780,Insomnia,6.6,55.0,3.722295
1781,Little Boy Blue,7.4,3.0,1.40335
1782,The Ugly,5.9,14.0,0.774609
1783,A Perfect Murder,6.3,320.0,9.430812
1784,Beyond Silence,6.5,12.0,1.923957
1785,Six Days Seven Nights,5.6,343.0,18.324219
1786,Can't Hardly Wait,6.1,122.0,6.426937000000001
1787,Cousin Bette,5.9,10.0,1.304145
1788,High Art,6.3,32.0,7.601439
1789,The Land Girls,7.0,3.0,1.514441
1790,Passion in the Desert,5.8,5.0,0.396851
1791,Children of Heaven,7.8,113.0,7.523517
1792,Dear Jesse,0.0,0.0,0.001354
1793,Dream for an Insomniac,6.1,12.0,5.540426999999999
1794,Hav Plenty,0.0,0.0,0.017501
1795,Henry Fool,6.9,29.0,1.7867680000000001
1796,Marie from the Bay of Angels,4.0,3.0,0.17161600000000002
1797,Mr. Jealousy,6.1,10.0,0.7288720000000001
1798,Mulan,7.6,2089.0,21.180857
1799,Resurrection Man,7.0,2.0,0.543985
1800,The X Files,6.6,494.0,12.311615
1801,I Went Down,6.5,2.0,0.559621
1802,Doctor Dolittle,5.4,705.0,9.439079
1803,Out of Sight,6.5,338.0,7.349811999999999
1804,Picnic at Hanging Rock,7.1,156.0,6.8112639999999995
1805,Smoke Signals,6.7,25.0,2.270828
1806,Voyage to the Beginning of the World,6.0,5.0,1.536254
1807,Buffalo '66,7.2,172.0,9.167761
1808,Armageddon,6.5,2540.0,13.235111999999999
1809,Lethal Weapon 4,6.3,782.0,14.470551
1810,Madeline,5.1,46.0,2.847458
1811,Small Soldiers,6.2,522.0,10.03936
1812,Pi,7.1,600.0,10.621362
1813,Whatever,8.3,2.0,0.291914
1814,There's Something About Mary,6.5,1616.0,11.688958
1815,Plan 9 from Outer Space,4.4,137.0,8.084953
1816,Wings,7.0,59.0,8.545698
1817,The Broadway Melody,5.0,20.0,0.758012
1818,All Quiet on the Western Front,7.5,166.0,15.235056
1819,Cimarron,5.1,22.0,1.133556
1820,Grand Hotel,6.5,67.0,11.118844000000001
1821,Cavalcade,4.6,17.0,1.196324
1822,Mutiny on the Bounty,7.1,72.0,7.135215
1823,The Great Ziegfeld,6.2,19.0,0.715129
1824,The Life of Emile Zola,6.6,19.0,1.142535
1825,You Can't Take It With You,7.2,79.0,4.370592
1826,How Green Was My Valley,6.9,76.0,9.058578
1827,Mrs. Miniver,6.7,47.0,3.306745
1828,Going My Way,6.9,37.0,5.682778
1829,The Lost Weekend,7.4,115.0,8.731330999999999
1830,The Best Years of Our Lives,7.6,148.0,6.069343
1831,Gentleman's Agreement,6.8,48.0,6.857317999999999
1832,Hamlet,7.1,48.0,3.1880669999999998
1833,All the King's Men,6.3,51.0,3.975372
1834,The Greatest Show on Earth,6.6,51.0,4.011362999999999
1835,From Here to Eternity,7.2,137.0,5.358582
1836,On the Waterfront,8.0,368.0,18.211092999999998
1837,Marty,7.2,75.0,11.589081
1838,West Side Story,7.0,399.0,8.389903
1839,Tom Jones,6.1,40.0,3.3158269999999996
1840,A Man for All Seasons,7.5,90.0,6.9978880000000006
1841,In the Heat of the Night,7.5,207.0,9.059617
1842,Oliver!,7.0,106.0,8.630078
1843,Midnight Cowboy,7.4,307.0,10.579988
1844,The French Connection,7.4,435.0,6.694959
1845,Rocky,7.5,1843.0,14.774066
1846,Kramer vs. Kramer,7.4,483.0,9.741644
1847,Ordinary People,7.4,147.0,8.934661
1848,Chariots of Fire,6.9,213.0,6.877698
1849,Terms of Endearment,6.9,178.0,8.785209
1850,Out of Africa,7.0,290.0,14.004074
1851,The Last Emperor,7.4,362.0,11.076971
1852,Rain Man,7.6,1762.0,11.267467
1853,Driving Miss Daisy,7.0,358.0,10.703677
1854,Take the Money and Run,7.0,177.0,9.15948
1855,Klute,6.5,88.0,9.328822
1856,Repo Man,6.7,146.0,6.357558999999999
1857,Metropolitan,7.0,39.0,1.68399
1858,Labyrinth,7.1,618.0,13.009688
1859,The Breakfast Club,7.8,2189.0,12.627678
1860,A Nightmare on Elm Street Part 2: Freddy's Revenge,5.7,367.0,8.668146
1861,A Nightmare on Elm Street 3: Dream Warriors,6.5,363.0,10.035081
1862,A Nightmare on Elm Street 4: The Dream Master,5.8,287.0,8.120317
1863,A Nightmare on Elm Street 5: The Dream Child,5.5,251.0,7.534739
1864,Freddy's Dead: The Final Nightmare,5.1,280.0,11.560358
1865,Friday the 13th,6.4,622.0,12.146747
1866,Friday the 13th Part 2,6.0,321.0,8.710824
1867,Friday the 13th Part III,5.7,257.0,7.99229
1868,Friday the 13th: The Final Chapter,5.9,241.0,10.175913000000001
1869,Friday the 13th: A New Beginning,5.1,200.0,9.094477000000001
1870,Friday the 13th Part VI: Jason Lives,5.7,219.0,8.122042
1871,Friday the 13th Part VII: The New Blood,5.3,196.0,7.909022
1872,Friday the 13th Part VIII: Jason Takes Manhattan,4.8,194.0,7.743144
1873,Halloween,7.4,1066.0,13.672759
1874,Halloween II,6.4,370.0,13.501144
1875,Halloween III: Season of the Witch,5.0,232.0,6.066618
1876,Halloween 4: The Return of Michael Myers,5.9,212.0,6.199806
1877,Halloween 5: The Revenge of Michael Myers,5.3,187.0,6.585405000000001
1878,Prom Night,6.0,85.0,3.65867
1879,Hello Mary Lou: Prom Night II,6.0,35.0,5.3837660000000005
1880,Prom Night III: The Last Kiss,5.1,15.0,1.506989
1881,Prom Night IV: Deliver Us from Evil,4.4,15.0,2.190786
1882,Child's Play,6.3,605.0,19.827545999999998
1883,Child's Play 2,5.8,323.0,14.310479
1884,Child's Play 3,5.5,274.0,24.515462
1885,Poltergeist,7.1,811.0,11.776326
1886,Poltergeist II: The Other Side,5.8,172.0,6.701138
1887,Poltergeist III,4.6,127.0,7.9776929999999995
1888,The Exorcist,7.5,2046.0,12.137595
1889,Exorcist II: The Heretic,4.5,137.0,8.266983999999999
1890,The Exorcist III,6.1,135.0,5.861032
1891,Lethal Weapon,7.0,1367.0,13.183804
1892,Lethal Weapon 2,6.7,1066.0,12.834276
1893,Lethal Weapon 3,6.4,824.0,10.786007000000001
1894,Gremlins,6.9,1629.0,11.333125
1895,Gremlins 2: The New Batch,6.3,664.0,14.383185000000001
1896,The Goonies,7.4,1563.0,14.280702999999999
1897,The Mask of Zorro,6.3,1211.0,11.348096
1898,Polish Wedding,5.4,18.0,4.387797
1899,"This World, Then the Fireworks",0.0,0.0,0.02329
1900,Soylent Green,6.8,305.0,7.630456
1901,Metropolis,8.0,666.0,14.487867000000001
1902,Back to the Future Part II,7.4,3926.0,13.689855
1903,Back to the Future Part III,7.1,2978.0,13.043999000000001
1904,The Poseidon Adventure,7.3,274.0,10.341849
